LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,Species2_eBird,Specimen.number,n_specimens
"Iju Water-works, near Lagos, South Nigeria","Nigeria, Nigeria",,,6.676047,3.335099,yes,,,,,Ixonotus guttatus,"1920.3.10.28, 1920.3.10.24",2
Umuagwu,Nigeria,,,5.293845,6.896488,no,High(82),unavailable,,"5.293845,6.896488,UMUAGWU|Unavailable|Unavailable|High(82)",Ixonotus guttatus,1966.16.1192,1
"Baram River, Sarawak, Borneo",Malaysia,,,3.539684,114.427163,no,High(71),unavailable,,"3.539684,114.427163,(g3)Baram River|Unavailable|136045|High(71)",Ixos malaccensis,B/320,1
"MT MAGDALENA, SABAH, BORNEO",Malaysia,,,4.506853,117.952614,yes,Low(36),Unavailable,,"1,114,BORNEO|Unavailable|Unavailable|Low(36),4,115,BORNEO|Unavailable|Unavailable|Low(36),3.7698,100.9879,SABAH|Unavailable|Unavailable|Low(35),5.5,117,SABAH|Unavailable|Unavailable|Low(35)",Ixos malaccensis,1956.60.323,1
"MT SIDONG, SAMARAHAN, SARAWAK","Malaysia, Malaysia",,,1.195674,110.487115,yes,,,,,Ixos malaccensis,"1927.4.18.604, 1927.4.18.605",2
"Andjoens, Java","Indonesia, Indonesia",,,-7.725227,112.588851,yes,,,,,Ixos virescens,"565491, 565487",2
"Mt. Andjoem, Java",Indonesia,,,-7.724686,112.589228,yes,Low(34),Unavailable,,"-7.4,110,JAVA|Unavailable|Unavailable|Low(34),-7.491667,110.004444,JAVA|Unavailable|Unavailable|Low(34)",Ixos virescens,565502,1
Tjerimoj,Indonesia,,,-6.894474,108.409673,yes,,,,,Ixos virescens,258954,1
Ede,Nigeria,,,7.287515,7.651932,yes,High(78),Unavailable,,"7.146264,7.539064,EDE|Unavailable|Unavailable|High(78),7.294552,7.697076,EDE|Unavailable|Unavailable|High(78),5.2748,6.644872,EDE|Unavailable|Unavailable|High(78),7.173714,9.234941,EDE|Unavailable|Unavailable|High(78),7.885836,4.886247,EDE|Unavailable|Unavailable|High(78),7.733333,4.433333,EDE|Unavailable|Unavailable|High(78),7.221501,7.641954,EDE|Unavailable|Unavailable|High(78),7.736347,4.435363,EDE|Unavailable|Unavailable|High(78)",Phyllastrephus albigularis,1966.16.1443,1
Enugu,Nigeria,,,6.441321,7.498834,yes,High(80),Unavailable,,"6.17146,7.005252,ENUGU|Unavailable|Unavailable|High(80),6.5,7.5,ENUGU|Unavailable|Unavailable|High(80),6.442579,7.502199,ENUGU|Unavailable|Unavailable|High(80),6.441321,7.498834,ENUGU|Unavailable|Unavailable|High(80)",Phyllastrephus albigularis,1966.16.1467,1
"Mamu Forest, Onitsha Province",Nigeria,,,6.361278,6.86069,yes,Low(37),Unavailable,,"6.149779,6.78569,ONITSHA|Unavailable|Unavailable|Low(37),6.1667,6.7833,ONITSHA|Unavailable|Unavailable|Low(37),6.437746,6.975491,MAMU|Unavailable|Unavailable|Low(34),6.361278,6.86069,MAMU|Unavailable|Unavailable|Low(34),7.083333,3.916667,MAMU|Unavailable|Unavailable|Low(34)",Phyllastrephus albigularis,1966.16.1451,1
"Owerri, South Nigeria",Nigeria,,,5.4833,7.0333,yes,Low(37),Unavailable,,"10,8,NIGERIA|Unavailable|Unavailable|Low(37),10,8,NIGERIA|Unavailable|Unavailable|Low(37),5.483626,7.033248,OWERRI|Unavailable|Unavailable|Low(36),5.75,7.116667,OWERRI|Unavailable|Unavailable|Low(36),5.4833,7.0333,OWERRI|Unavailable|Unavailable|Low(36)",Phyllastrephus albigularis,1950.9.35,1
"Grassfield, Mt Nimba",Liberia,,,7.488889,-8.570833,yes,Low(40),Unavailable,,"6.766667,-11.35,GRASSFIELD|Unavailable|Unavailable|Low(40),7.488889,-8.570833,GRASSFIELD|Unavailable|Unavailable|Low(40),7.488889,-8.570833,NIMBA|Unavailable|Unavailable|Low(35),6.75,-8.75,NIMBA|Unavailable|Unavailable|Low(35),7.493611,-8.585,NIMBA|Unavailable|Unavailable|Low(35),6.816667,-8.783333,NIMBA|Unavailable|Unavailable|Low(35)",Phyllastrephus baumanni,1977.20.1138,1
"Mine Road, Mt Nimba","Liberia, Liberia, Liberia",,,7.547259,-8.49563,yes,,,,,Phyllastrephus baumanni,"1977.20.1136, 1977.20.1133, 1977.20.1137",3
"Dabaga Highlands, Tanganyika",United Republic of Tanzania,,,-8.116667,35.916667,yes,Low(40),Unavailable,,"-6,35,TANGANYIKA|Unavailable|Unavailable|Low(40),-9.116667,35.65,TANGANYIKA|Unavailable|Unavailable|Low(40),-5.159042,38.8025,TANGANYIKA|Unavailable|Unavailable|Low(40),-8.116667,35.916667,DABAGA|Unavailable|Unavailable|Low(36),-7.983333,35.933333,DABAGA|Unavailable|Unavailable|Low(36),-8.074515,35.94366,DABAGA|Unavailable|Unavailable|Low(36)",Phyllastrephus cabanisi,1932.5.10.550,1
Elizabethville,Democratic Republic of the Congo,,,-11.666667,27.466667,yes,High(89),,,"-11.666667,27.466667,ELIZABETHVILLE|Unavailable|Unavailable|High(89)",Phyllastrephus cabanisi,1934.10.19.64,1
"Kindoroko forest, N Pare Mts, Tanganyika",United Republic of Tanzania,,,-3.75,37.65,yes,Low(40),Unavailable,,"-6,35,TANGANYIKA|Unavailable|Unavailable|Low(40),-9.116667,35.65,TANGANYIKA|Unavailable|Unavailable|Low(40),-5.159042,38.8025,TANGANYIKA|Unavailable|Unavailable|Low(40),-3.733333,37.65,KINDOROKO|Unavailable|Unavailable|Low(39),-3.75,37.65,KINDOROKO|Unavailable|Unavailable|Low(39)",Phyllastrephus cabanisi,1937.6.22.108,1
"Kolala, Muchinga Mts, Lundazi Dist, Rhodesia",Zambia,,,-11.962958,31.691742,yes,Low(38),Unavailable,,"-19,29.75,RHODESIA|Unavailable|Unavailable|Low(38),-19,29,RHODESIA|Unavailable|Unavailable|Low(38)",Phyllastrephus cabanisi,1948.45.3,1
"Luacano, Moxico",Angola,,,-11.212157,21.657767,yes,Low(37),,,"-11.212157,21.657767,LUACANO|Unavailable|Unavailable|Low(37),-11.172362,21.651903,LUACANO|Unavailable|Unavailable|Low(37),-11.21762,21.645305,LUACANO|Unavailable|Unavailable|Low(37),-11.213347,21.66535,LUACANO|Unavailable|Unavailable|Low(37),-11.70471,22.020019,LUACANO|Unavailable|Unavailable|Low(37),-11.2167,21.65,LUACANO|Unavailable|Unavailable|Low(37),-11.483672,15.361055,MOXICO|Unavailable|Unavailable|Low(36),-11.85,20.033333,MOXICO|Unavailable|Unavailable|Low(36),-13.266667,21.25,MOXICO|Unavailable|Unavailable|Low(36),-12.848689,20.932663,MOXICO|Unavailable|Unavailable|Low(36),-12.848,20.932,MOXICO|Unavailable|Unavailable|Low(36)",Phyllastrephus cabanisi,1957.35.189,1
"Magamba, Nr Lushoto, Tanganyika, Tanganyika",United Republic of Tanzania,,,-4.772001,38.289233,yes,Low(40),Unavailable,,"-5.159042,38.8025,TANGANYIKA|Unavailable|Unavailable|Low(40),-9.116667,35.65,TANGANYIKA|Unavailable|Unavailable|Low(40),-6,35,TANGANYIKA|Unavailable|Unavailable|Low(40),-4.7,38.3,MAGAMBA|Unavailable|Unavailable|Low(37),-4.783333,38.283333,LUSHOTO|Unavailable|Unavailable|Low(37),-4.333333,37.866667,LUSHOTO|Unavailable|Unavailable|Low(37),-6.427666,31.046592,MAGAMBA|Unavailable|Unavailable|Low(37),-5.533333,38.083333,MAGAMBA|Unavailable|Unavailable|Low(37),-6.429099,31.102321,MAGAMBA|Unavailable|Unavailable|Low(37),-8.619069,32.912637,MAGAMBA|Unavailable|Unavailable|Low(37),-4.784936,38.31374,LUSHOTO|Unavailable|Unavailable|Low(37),-5.645275,38.050353,MAGAMBA|Unavailable|Unavailable|Low(37),-4.545278,38.43927,LUSHOTO|Unavailable|Unavailable|Low(37),-4.772001,38.289233,LUSHOTO|Unavailable|Unavailable|Low(37)",Phyllastrephus cabanisi,1931.12.18.46,1
"Momella, Merugebirge, Tansania",United Republic of Tanzania,,,-3.217746,36.85317,yes,Low(38),,,"-6,35,TANSANIA|Unavailable|Unavailable|Low(38),-6,35,TANSANIA|Unavailable|Unavailable|Low(38)",Phyllastrephus cabanisi,1957-561,1
"Mount Moco, Huambo ",Angola,,,-12.462025,15.176721,no,Low(40),unavailable,,"-12.462025,15.176721,MOUNT MOCO|Unavailable|Unavailable|Low(40),-9.824115,14.89489,HUAMBO|Unavailable|Unavailable|Low(36),-12.7333,15.7833,HUAMBO|Unavailable|Unavailable|Low(36),-11.089807,14.394933,HUAMBO|Unavailable|Unavailable|Low(36),-14.833333,15.366667,HUAMBO|Unavailable|Unavailable|Low(36),-12.55,14.25,HUAMBO|Unavailable|Unavailable|Low(36),-11.85,14.233333,HUAMBO|Unavailable|Unavailable|Low(36),-12.776111,15.739167,HUAMBO|Unavailable|Unavailable|Low(36),-12.5,15.666667,HUAMBO|Unavailable|Unavailable|Low(36),-12.79347,15.791155,HUAMBO|Unavailable|Unavailable|Low(36),-12.5,15.6667,HUAMBO|Unavailable|Unavailable|Low(36),-7.536901,15.538241,HUAMBO|Unavailable|Unavailable|Low(36),-12.420742,15.258085,MOCO|Unavailable|Unavailable|Low(34),-12.466667,15.083333,MOCO|Unavailable|Unavailable|Low(34),-12.462025,15.176721,MOCO|Unavailable|Unavailable|Low(34),-12.427808,15.152708,MOCO|Unavailable|Unavailable|Low(34),-12.633333,14.5,MOCO|Unavailable|Unavailable|Low(34),-12.666667,14.466667,MOCO|Unavailable|Unavailable|Low(34)",Phyllastrephus cabanisi,1957.35.192,1
"Mt Meru, above Arusha",United Republic of Tanzania,,,-3.233333,36.75,yes,Low(36),Unavailable,,"-3,36,ARUSHA|Unavailable|Unavailable|Low(36),-3.366667,36.633333,ARUSHA|Unavailable|Unavailable|Low(36),-3.299849,36.632339,ARUSHA|Unavailable|Unavailable|Low(36),-3.3833,36.6667,ARUSHA|Unavailable|Unavailable|Low(36),-3.366667,36.683333,ARUSHA|Unavailable|Unavailable|Low(36),-3.233333,36.75,MERU|Unavailable|Unavailable|Low(34),-3.326734,36.900834,MERU|Unavailable|Unavailable|Low(34),-3.216667,36.666667,MERU|Unavailable|Unavailable|Low(34)",Phyllastrephus cabanisi,1936.7.2.123,1
Nahichod,"South Sudan, South Sudan",,,4.267124,33.565133,yes,,,,,Phyllastrephus cabanisi,"1978-072, 1978-071, 1978-075",3
"Same District South Pare Mountains, Tanzania","United Republic of Tanzania, United Republic of Tanzania",,,-4.057972,37.744658,yes,,,,,Phyllastrephus cabanisi,"1961-530, 1959-536",2
"Tengeru, nahe Arusha, Tanzania",United Republic of Tanzania,,,-3.383333,36.833333,yes,Low(38),Unavailable,,"-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-3.45,36.85,TENGERU|Unavailable|Unavailable|Low(37),-3.383333,36.833333,TENGERU|Unavailable|Unavailable|Low(37),-3.366667,36.633333,ARUSHA|Unavailable|Unavailable|Low(36),-3,36,ARUSHA|Unavailable|Unavailable|Low(36),-3.299849,36.632339,ARUSHA|Unavailable|Unavailable|Low(36),-3.366667,36.683333,ARUSHA|Unavailable|Unavailable|Low(36),-3.3833,36.6667,ARUSHA|Unavailable|Unavailable|Low(36)",Phyllastrephus cabanisi,1959-249,1
"10m SW of Zobue, Tete Prov.",Mozambique,,,-15.694986,34.343223,yes,Low(35),,,"-16.533333,33.416667,ZOBUE|Unavailable|Unavailable|Low(35),-15.616667,34.466667,ZOBUE|Unavailable|Unavailable|Low(35),-15.597222,34.4475,ZOBUE|Unavailable|Unavailable|Low(35),-16.273889,33.321111,TETE|Unavailable|Unavailable|Low(34),-16.144167,33.562778,TETE|Unavailable|Unavailable|Low(34),-17.046667,33.105833,TETE|Unavailable|Unavailable|Low(34),-21.9525,35.296389,TETE|Unavailable|Unavailable|Low(34),-16.7625,33.138889,TETE|Unavailable|Unavailable|Low(34),-16.156389,33.586667,TETE|Unavailable|Unavailable|Low(34),-15.5,33,TETE|Unavailable|Unavailable|Low(34),-16.1667,33.5833,TETE|Unavailable|Unavailable|Low(34),-18.632778,35.207778,TETE|Unavailable|Unavailable|Low(34),-15.914722,33.158889,TETE|Unavailable|Unavailable|Low(34)",Phyllastrephus cerviniventris,1933.3.1.652,1
Namwera,Malawi,,,-14.35,35.5,yes,High(82),Unavailable,,"-14.35,35.5,NAMWERA|Unavailable|Unavailable|High(82),-14.363227,35.502546,NAMWERA|Unavailable|Unavailable|High(82),-14.3667,35.5,NAMWERA|Unavailable|Unavailable|High(82)",Phyllastrephus cerviniventris,1933.3.1.655,1
"Nr Chinga, Mozambique Prov.",Mozambique,,,-15.201667,38.691389,yes,Low(40),Unavailable,,"-15.034167,40.735833,MOZAMBIQUE|Unavailable|Unavailable|Low(40),-18.25,35,MOZAMBIQUE|Unavailable|Unavailable|Low(40),-18.25,35,MOZAMBIQUE|Unavailable|Unavailable|Low(40),-17.185278,37.838889,CHINGA|Unavailable|Unavailable|Low(36),-14.288889,37.387778,CHINGA|Unavailable|Unavailable|Low(36),-15.201667,38.691389,CHINGA|Unavailable|Unavailable|Low(36)",Phyllastrephus cerviniventris,1933.3.1.663,1
"Nr Nhauela, Quelimane Prov.",Mozambique,,,-15.437222,37.44,yes,Low(39),Unavailable,,"-17.885,36.887222,QUELIMANE|Unavailable|Unavailable|Low(39),-17.750278,36.915556,QUELIMANE|Unavailable|Unavailable|Low(39),-11.163056,40.304167,QUELIMANE|Unavailable|Unavailable|Low(39),-17.878611,36.888333,QUELIMANE|Unavailable|Unavailable|Low(39),-15.843611,39.609722,QUELIMANE|Unavailable|Unavailable|Low(39),-18.125,36.808333,QUELIMANE|Unavailable|Unavailable|Low(39),-17.856072,36.923029,QUELIMANE|Unavailable|Unavailable|Low(39),-18.0125,36.9075,QUELIMANE|Unavailable|Unavailable|Low(39),-17.861389,36.855833,QUELIMANE|Unavailable|Unavailable|Low(39),-15.437222,37.44,NHAUELA|Unavailable|Unavailable|Low(37)",Phyllastrephus cerviniventris,1933.3.1.665,1
"Dondo, near Beira, Portuguese East Africa","Mozambique, Mozambique",,,-19.619854,34.741248,yes,,,,,Phyllastrephus debilis,"1946.5.713, 1946.5.711",2
"Liwale, Southern Province, Tanganyika Territory",United Republic of Tanzania,,,-9.766667,37.933333,yes,Low(40),Unavailable,,"-9.116667,35.65,TANGANYIKA|Unavailable|Unavailable|Low(40),-6,35,TANGANYIKA|Unavailable|Unavailable|Low(40),-5.159042,38.8025,TANGANYIKA|Unavailable|Unavailable|Low(40),-9.766667,37.933333,LIWALE|Unavailable|Unavailable|Low(36),-9.133333,38.283333,LIWALE|Unavailable|Unavailable|Low(36),-6.266667,37.7,LIWALE|Unavailable|Unavailable|Low(36),-7.116667,37.533333,LIWALE|Unavailable|Unavailable|Low(36),-9.327393,37.918434,LIWALE|Unavailable|Unavailable|Low(36)",Phyllastrephus debilis,1945.47.14,1
"Zimbiti, Portuguese East Africa",Mozambique,,,-19.557235,34.659758,yes,Low(52),Unavailable,,"-18.25,35,PORTUGUESE EAST AFRICA|Unavailable|Unavailable|Low(52),-18.25,35,PORTUGUESE EAST AFRICA|Unavailable|Unavailable|Low(52),-26.045556,32.191944,PORTUGUES|Unavailable|Unavailable|Low(26)",Phyllastrephus debilis,1928.2.5.15,1
"Rabai, 12m NW of Mombasa",Kenya,,,-3.931682,39.570408,yes,Low(37),Unavailable,,"-1.710817,37.871106,MOMBASA|Unavailable|Unavailable|Low(37),-1.689943,37.920036,MOMBASA|Unavailable|Unavailable|Low(37),-4.054655,39.663588,MOMBASA|Unavailable|Unavailable|Low(37),-4,39.666667,MOMBASA|Unavailable|Unavailable|Low(37),-1.686184,37.913436,MOMBASA|Unavailable|Unavailable|Low(37),-4.0667,39.6667,MOMBASA|Unavailable|Unavailable|Low(37),-4,39.666,MOMBASA|Unavailable|Unavailable|Low(37),-3.933333,39.566667,RABAI|Unavailable|Unavailable|Low(35),-3.931682,39.570408,RABAI|Unavailable|Unavailable|Low(35),-3.9167,39.5667,RABAI|Unavailable|Unavailable|Low(35),-3.763961,39.464357,RABAI|Unavailable|Unavailable|Low(35)",Phyllastrephus fischeri,1931.10.21.5,1
"Sokoke Forest, Malinde","Kenya, Kenya, Kenya",,,-3.386137,39.84522,yes,,,,,Phyllastrephus fischeri,"1971.16.64, 1931.10.21.2, 1971.16.67",3
Macamac,South Africa,,,-25.004521,30.818836,yes,,,,,Phyllastrephus flavostriatus,76.6.5.1,1
"Malinga Mountains, Nyasaland, North Rhodesia, 20 miles south of Fort Hill, Everfreen",Malawi,,,-9.995623,33.274096,no,High(84),unavailable,,"-9.995623,33.274096,Distance South of FORT HILL|Unavailable|Unavailable|High(84),-9.991002,33.266667,Distance South of FORT HILL|Unavailable|Unavailable|High(84)",Phyllastrephus flavostriatus,1959.2.25.297,1
"Mbisi Forest, Sumbawanga","United Republic of Tanzania, United Republic of Tanzania",,,-7.876508,31.67436,yes,,,,,Phyllastrephus flavostriatus,"1945.34.105, 1945.34.106",2
"Ngoye Forest, KwaZulu-Natal",South Africa,,,-28.84113,31.686591,yes,Low(43),Unavailable,,"-29,30,KWAZULU-NATAL|Unavailable|Unavailable|Low(43),-30.945279,29.260732,KWAZULU|Unavailable|Unavailable|Low(37),-30.95433,29.243622,KWAZULU|Unavailable|Unavailable|Low(37),-30.982785,29.239712,KWAZULU|Unavailable|Unavailable|Low(37),-31.289484,29.45508,KWAZULU|Unavailable|Unavailable|Low(37),-22.909428,29.399831,NATAL|Unavailable|Unavailable|Low(35),-28.84113,31.686591,NGOYE|Unavailable|Unavailable|Low(35),-29,30,NATAL|Unavailable|Unavailable|Low(35),-28.388578,27.228258,NATAL|Unavailable|Unavailable|Low(35),-26.429855,28.16055,NATAL|Unavailable|Unavailable|Low(35),-29.866667,31.05,NATAL|Unavailable|Unavailable|Low(35),-29,30,NATAL|Unavailable|Unavailable|Low(35)",Phyllastrephus flavostriatus,1905.12.29.1970,1
"Nukuth Mountains, North Rhodesia",Zambia,,,-10.46456,33.196896,yes,,,,,Phyllastrephus flavostriatus,1949.73.78,1
"Woodbush, NE Transvaal","South Africa, South Africa",,,-23.840901,29.990261,yes,,,,,Phyllastrephus flavostriatus,"1905.12.29.1974, 1905.12.29.1976",2
"Issore, Imatong Mts",Sudan,,,3.915205,32.762592,yes,,,,,Phyllastrephus hypochloris,1939.10.1.23,1
"Lotti Forest, Equatorial Prov.",Sudan,,,4.024216,32.523486,yes,Low(26),Unavailable,,"5,31,EQUATORIA|Unavailable|Unavailable|Low(26),5.4,28.4,EQUATORIA|Unavailable|Unavailable|Low(26)",Phyllastrephus hypochloris,1936.9.13.11,1
Lugalambo,Uganda,,,0.403747,33.073228,yes,,,,,Phyllastrephus hypochloris,1939.12.9.3083,1
Nabera Forest,Uganda,,,0.452927,33.007224,yes,,,,,Phyllastrephus hypochloris,1933.5.31.10,1
"Badasori, Fernando Po",Equatorial Guinea,,,3.5,8.7,no,Low(41),unavailable,,"3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41),3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41)",Phyllastrephus icterinus,1911.12.223.1688,1
"Ikom, Ogoja Province",Nigeria,,,5.962385,8.708234,yes,Low(35),Unavailable,,"6.658398,8.799227,OGOJA|Unavailable|Unavailable|Low(35),6.506425,8.688134,OGOJA|Unavailable|Unavailable|Low(35),6.6667,8.8,OGOJA|Unavailable|Unavailable|Low(35),6.05935,8.624266,IKOM|Unavailable|Unavailable|Low(34),5.962385,8.708234,IKOM|Unavailable|Unavailable|Low(34),6,8.6833,IKOM|Unavailable|Unavailable|Low(34)",Phyllastrephus icterinus,1966.16.1341,1
"Owerri, South Nigeria",Nigeria,,,5.4833,7.0333,yes,Low(37),Unavailable,,"10,8,NIGERIA|Unavailable|Unavailable|Low(37),10,8,NIGERIA|Unavailable|Unavailable|Low(37),5.483626,7.033248,OWERRI|Unavailable|Unavailable|Low(36),5.75,7.116667,OWERRI|Unavailable|Unavailable|Low(36),5.4833,7.0333,OWERRI|Unavailable|Unavailable|Low(36)",Phyllastrephus icterinus,1949.33.44,1
Umuagwu,Nigeria,,,5.293845,6.896488,no,High(82),unavailable,,"5.293845,6.896488,UMUAGWU|Unavailable|Unavailable|High(82)",Phyllastrephus icterinus,1966.16.1324,1
"Zwedru, Grand Gedeh",Liberia,,,6.0667,-8.1333,yes,Low(41),Unavailable,,"5.916667,-8.083333,GRAND GEDEH|Unavailable|Unavailable|Low(41),5.966667,-8.2,GRAND GEDEH|Unavailable|Unavailable|Low(41),6.023333,-8.148056,ZWEDRU|Unavailable|Unavailable|Low(36),6.068462,-8.135585,ZWEDRU|Unavailable|Unavailable|Low(36),6.0667,-8.1333,ZWEDRU|Unavailable|Unavailable|Low(36)",Phyllastrephus icterinus,1984.221,1
Bakaki,Equatorial Guinea,,,3.605009,8.880962,yes,,,,,Phyllastrephus poensis,1936.2.21.297,1
"Bantabare, Bioko","Equatorial Guinea, Equatorial Guinea, Equatorial Guinea",,,3.429388,8.792063,yes,,,,,Phyllastrephus poensis,"1904.6.22.168, 1904.6.22.167, 1904.6.22.170",3
Mount Cameroon,"Cameroon, Cameroon, Cameroon, Cameroon",,,4.216239,9.172786,yes,,,,,Phyllastrephus poensis,"1966.16.1505, 1966.16.1514, 1966.16.1476, 1966.16.1507",4
"Kupe Mountain, above Nyassoso, British Cameroons",Cameroon,,,4.801287,9.707221,yes,Low(34),Unavailable,,"4.7571,9.6854,KUPE|Unavailable|Unavailable|Low(34),6,12.5,CAMEROON|Unavailable|Unavailable|Low(25),6,12,CAMEROON|Unavailable|Unavailable|Low(25)",Phyllastrephus poensis,1966.16.1490,1
"Dikume Balue, British Cameroons","Cameroon, Cameroon",,,4.900921,9.252662,yes,,,,,Phyllastrephus poliocephalus,"1966.16.1440, 1966.16.1437",2
"near Buea, Cameroon Mountain, Southern Cameroons",Cameroon,,,4.15,9.2167,yes,Medium(49),,,"4.15,9.2167,Near BUEA|Unavailable|Unavailable|Medium(49),4.1527,9.241,Near BUEA|Unavailable|Unavailable|Medium(49)",Phyllastrephus poliocephalus,1966.16.1401,1
"near Foto, Bangwa District, Mamfe Division, Southern Cameroons",Cameroon,,,5.528042,9.93647,yes,Medium(49),Unavailable,,"5.504938,10.559917,Near FOTO|Unavailable|Unavailable|Medium(49),5.464586,10.072513,Near FOTO|Unavailable|Unavailable|Medium(49),5.528042,9.93647,Near FOTO|Unavailable|Unavailable|Medium(49)",Phyllastrephus poliocephalus,1966.16.1394,1
"20 km north of Juba, S-Sudan",South Sudan,,,5.026723,31.601203,no,High(79),unavailable,,"5.026723,31.601203,Distance North of JUBA|Unavailable|Unavailable|High(79)",Phyllastrephus strepitans,1977.269,1
"Fafen River, 30 km W Deghahabur","Ethiopia, Ethiopia",,,8.209523,43.214267,yes,,,,,Phyllastrephus strepitans,"1976.061, 1976.059",2
"Lokori, Mt. Kangetet, South Turkana",Kenya,,,1.952375,36.029836,yes,Low(38),Unavailable,,"1.983333,36.1,KANGETET|Unavailable|Unavailable|Low(38),1.998082,36.075344,KANGETET|Unavailable|Unavailable|Low(38),1.966667,36.616667,KANGETET|Unavailable|Unavailable|Low(38),3.2,35.466667,TURKANA|Unavailable|Unavailable|Low(37),1.826672,35.730057,TURKANA|Unavailable|Unavailable|Low(37),3.2,35.466,TURKANA|Unavailable|Unavailable|Low(37),4.488192,35.202793,TURKANA|Unavailable|Unavailable|Low(37),0.6667,35.5,TURKANA|Unavailable|Unavailable|Low(37),0.664944,37.891328,TURKANA|Unavailable|Unavailable|Low(37),3.142307,36.064213,TURKANA|Unavailable|Unavailable|Low(37),1.952375,36.029836,LOKORI|Unavailable|Unavailable|Low(36)",Phyllastrephus strepitans,1971.16.56,1
Mombasa,Kenya,,,-4,39.666,yes,High(82),Unavailable,,"-1.710817,37.871106,MOMBASA|Unavailable|Unavailable|High(82),-4,39.666667,MOMBASA|Unavailable|Unavailable|High(82),-4.054655,39.663588,MOMBASA|Unavailable|Unavailable|High(82),-1.689943,37.920036,MOMBASA|Unavailable|Unavailable|High(82),-4,39.666,MOMBASA|Unavailable|Unavailable|High(82),-4.0667,39.6667,MOMBASA|Unavailable|Unavailable|High(82),-1.686184,37.913436,MOMBASA|Unavailable|Unavailable|High(82)",Phyllastrephus strepitans,1903.8.1.91,1
"Nathilani, Didinga Berge, Sudan",South Sudan,,,4.340075,33.67465,yes,Low(39),Unavailable,,"4.340075,33.67465,NATHILANI|Unavailable|Unavailable|Low(39),4.101795,33.527888,DIDINGA|Unavailable|Unavailable|Low(37)",Phyllastrephus strepitans,1978.063,1
S Guaso Nyiro,Kenya,,,-2.133448,36.050535,yes,Low(41),Unavailable,,"0.407946,40.017985,GUASO NYIRO|Unavailable|Unavailable|Low(41),-1.15312,35.762774,GUASO NYIRO|Unavailable|Unavailable|Low(41),0.553626,36.327501,NYIRO|Unavailable|Unavailable|Low(35),0.407946,40.017985,UASO NYIRO|Unavailable|Unavailable|Low(27),-0.273012,36.826004,UASO NYIRO|Unavailable|Unavailable|Low(27),-2.133448,36.050535,UASO NYIRO|Unavailable|Unavailable|Low(27)",Phyllastrephus strepitans,1916.12.1.1234,1
Sokoke Forest,Kenya,,,-3.365427,39.856538,yes,Low(36),Unavailable,,"-3.523541,39.767685,SOKOKE|Unavailable|Unavailable|Low(36),-3.516667,39.8,SOKOKE|Unavailable|Unavailable|Low(36),-3.542225,39.817046,SOKOKE|Unavailable|Unavailable|Low(36),-3.55299,39.802077,SOKOKE|Unavailable|Unavailable|Low(36),-3.513368,39.819563,SOKOKE|Unavailable|Unavailable|Low(36)",Phyllastrephus strepitans,1971.16.58,1
"Grahamstown, E Cape Province",South Africa,,,-33.304216,26.53276,yes,Low(43),Unavailable,,"-31,23,CAPE PROVINCE|Unavailable|Unavailable|Low(43),-33.3,26.5333,GRAHAMSTOWN|Unavailable|Unavailable|Low(41),-33.304216,26.53276,GRAHAMSTOWN|Unavailable|Unavailable|Low(41),-33.285508,26.497057,GRAHAMSTOWN|Unavailable|Unavailable|Low(41),-46.652408,37.999222,EAST CAPE|Unavailable|Unavailable|Low(39),-34.086445,23.085835,EAST CAPE|Unavailable|Unavailable|Low(39),-46.901074,37.902948,EAST CAPE|Unavailable|Unavailable|Low(39),-31,23,CAPE|Unavailable|Unavailable|Low(34),-27.160765,22.955228,EAST|Unavailable|Unavailable|Low(34)",Phyllastrephus terrestris,1930.12.20.17,1
"Knysna, Cape Colony","South Africa, South Africa",,,-34.037011,23.042227,yes,,,,,Phyllastrephus terrestris,"1905.12.29.1957, 1905.12.29.1958",2
